ID,Title,Form-factor,Category of BCI,,Type of Media,Description,Keywords,Year,Prediction,BCI forecast,Utopia/Dystopia - tech-wise,Level of invasiveness,Reality factor,Neurafictionality,Neuroptimism,Name of BCI,Author/Directed by,Distributed by,Production Company,Date
114,G.I. Joe: The Rise of Cobra,implant,N/A,,"Movie, game","Nanomite warheads
Nanomites, also known as nano-mites or nanites are extremely microscopic robot forms usually measuring in the incredible scale of nanometers. They have been used by both Joe and Cobra forces in their never-ending battle to stop each other. Military use is not the only way to utilize these amazing machines as there are also more beneficial applications such as in the field of medicine and construction. Nanomite-enhanced Neo-Vipers, soldiers who are completely obedient, fearless, and feel no pain. The nanomites can also expunge any toxins from the body, making them ""perfect little healers,"" and are able to heal almost any injury. The Doctor had also used nanomites on his sister,",military,2009,2041,33,dystopia,Invasive,0.393939394,0.080246914,0.203703704,nanomites,Stephen Sommers,Paramount Pictures,"Di Bonaventure Pictures, Spyglass Entertainment",1-Aug-09
115,The Consolidator,chair,stimulation,,Novel,A device which improves the rationality of the thinking processes.,N/A,1705,2071,367,utopia,Non-invasive,0.863760218,0.680257511,0.787553648,Cogitator (The Chair of Reflection),Daniel Defoe,N/A,N/A,"January 1, 1705"
116,The Ancient Brain,N/A,stimulation,,Novel,A device used to artificially stimulate cell growth and development.,N/A,1929,2041,113,"dystopia, utopia",N/A,0.82300885,0.384297521,0.466942149,Electro-Culturer,A.G. Stangland,N/A,N/A,1-Jan-29
117,Brain Control,helmet,"memory, stimulation",,Novel,A device that activates memories and plays them back in reverse order.,N/A,1937,2146,210,"dystopia, utopia",Non-invasive,0.404761905,0.363247863,0.897435897,Automatic Reversed Memory,Dave Cummins,N/A,N/A,1-Jan-37
118,The Ancient Brain,"chair, helmet",recording brain activity,,Novel,A stamped metal record that contains all of a person's data in a convenient form.,N/A,1929,2071,143,"dystopia, utopia",Non-invasive,0.65034965,0.384297521,0.590909091,Personal Metallic Record Disc,A.G. Stangland,N/A,N/A,1-Jan-29
119,"Ben Gleed, King of Speed",N/A,"linking, stimulation",,Novel,A device that coordinated the waves of the brain with an external device to improve performance,N/A,1939,2071,133,"dystopia, utopia",N/A,0.62406015,0.357758621,0.573275862,Electric Brain Stimulator,Don Wilcox,N/A,N/A,1-Jan-39
120,The Knowledge Machine,N/A,"knowledge upload, stimulation",,Novel,A special metal helmet for electro-education,education,1948,2121,174,"dystopia, utopia",N/A,0.425287356,0.331838565,0.780269058,Learning Cap,Michael Strevens,N/A,N/A,1-Jan-48
121,The Knowledge Machine,N/A,"memory, stimulation",,Novel,Deleting selected knowledge from the brain using electrical impulses,education,1948,2096,149,dystopia,N/A,0.496644295,0.331838565,0.668161435,Brain Erasure,Michael Strevens,N/A,N/A,1-Jan-48
122,Cities in Flight,N/A,"knowledge upload, stimulation",,Novel,A device that stimulates the brain and imparts knowledge directly,education,1957,2146,190,"dystopia, utopia",N/A,0.342105263,0.303738318,0.887850467,Accelerated Schooling,James Blish,N/A,N/A,1-Jan-57
123,A Planet Named Shayol,N/A,stimulation,,Novel,A device that delivers amps of pleasure directly to the brain,pleasure,1961,2071,111,"dystopia, utopia",N/A,0.54954955,0.29047619,0.528571429,Pleasure Cap,Cordwainer Smith,N/A,N/A,1-Jan-61
124,Known Space,"implant, tool",stimulation,,Novel,"A device that fires an inductance beam which stimulates the pleasure center of the brain, creating an instant feeling of total and pure joy, ecstasy. It's used to render threatening opponents completely helpless. Enough exposure to the tasp causes addiction, making the victim an unwitting slave.","addiction, pleasure",1964,2071,108,dystopia,"Invasive, Non-invasive",0.537037037,0.280193237,0.52173913,Tasp,Larry Niven,N/A,N/A,1-Jan-64
125,Known Space,"implant, tool",stimulation,,Novel,"A device that fires an inductance beam which stimulates the pleasure center of the brain, creating an instant feeling of total and pure joy, ecstasy. It's used to render threatening opponents completely helpless. Enough exposure to the tasp causes addiction, making the victim an unwitting slave.","addiction, pleasure",1964,2071,108,dystopia,"Invasive, Non-invasive",0.537037037,0.280193237,0.52173913,Droud,Larry Niven,N/A,N/A,1-Jan-64
126,The Three Stigmata of Palmer Eldritch,N/A,stimulation,,Novel,"A person who as undergone E therapy, and achieved the frontal lobe of their dreams.",N/A,1965,2221,257,"dystopia, utopia",N/A,0.221789883,0.276699029,1.247572816,E Therapy/Bubblehead,Philip K. Dick,N/A,N/A,1-Jan-65
127,The Dream Master,implant,stimulation,,Novel,Photoelectric cell implanted in the forehead grants some vision to the blind.,N/A,1966,2071,106,utopia,Invasive,0.528301887,0.273170732,0.517073171,Vision Implant,Roger Zelazny,N/A,N/A,1-Jan-66
128,"Captain Scarlet and the Mysterons, EP6 ""Operation Time"" ",implant,"linking, stimulation",,TV Series," pioneering medical device called the ""cerebral pulsator"", implant for stimulation and linking",medical,1967,2096,130,"dystopia, utopia",Invasive,0.423076923,0.269607843,0.637254902,cerebral pulsator,Ken Turner,ITC Entertainment,Century 21 Productions,1-Jan-67
129,Star Trek: The Original Series,N/A,"manipulation, reading thoughts, recording brain activity, stimulation",,"Anime, Movie, Novel, TV Series, comics, game","The device was operated by reaching directly into a subject's mind and recording every thought and bit of knowledge within. Designed with variable settings, which determined the amount of force used, it could be a mind sifter or a mind ripper to its subject. If too much force was used, it would cause brain damage leaving the mind permanently emptied and the subject a ""mental vegetable.""",N/A,1967,2121,155,dystopia,N/A,0.35483871,0.269607843,0.759803922,Mind Scanner,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",1-Jan-67
130,Riders of the Purple Wage,implant,stimulation,,Novel,Electrical stimulation of the pleasure centers of the brain.,pleasure,1967,2041,75,dystopia,Invasive,0.733333333,0.269607843,0.367647059,Fornixation,Philip Jose Farmer,N/A,N/A,1-Jan-67
131,Star Trek: The Original Series,"helmet, stand-alone electrodes",stimulation,,"Anime, Movie, TV Series, comics, game","A medical instrument used to stimulate particular areas of a humanoid brain. These devices could be operated by remote control, if necessary. In Star Trek, the device is mostly used to provide the critical life support after fatal wounds.",N/A,1968,2021,54,"dystopia, utopia",Non-invasive,1,0.266009852,0.266009852,Neural stimulator,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",1-Jan-68
132,Sword Art Online,helmet,"control of the user, manipulation",,"Anime, Movie, Novel, game","It only has a single interface that covers a player's whole head and face. It completely controls the player's consciousness by redirecting the signals the brain sends to the body and sending its own waves to stimulate the five senses. It has its own battery source, as well as a high frequency electromagnetic microwaves transmitter. Puzzles, education related games, or environmental type games were first produced for NerveGear.",gaming,2009,2071,63,"dystopia, utopia",Non-invasive,0.206349206,0.080246914,0.388888889,NerveGear,Reki Kawahara,Aniplex,A-1 Pictures,1-Jan-09
133,The Outer Limits,implant,control of the user,,TV Series,The administrators are actually controlling the students through a chip inserted into their heads. They want to create a group of business executives who are willing to commit murder in order to make more money for their companies.,education,1996,2096,101,dystopia,Invasive,0.257425743,0.148571429,0.577142857,N/A,Leslie Stevens,United Artists Television,"Daystar Productions, United Artists Television",1-Jan-96
134,Star Trek: The Next Generation,implant,"control of the user, memory, telepathy",,"Anime, Movie, TV Series, comics, game","Psi-wave transceiver were transceiver implants used by the Prytt for interrogation purposes. They were connected directly to the brain stem of an individual and slowly adapted to their psi-wave patterns, eventually allowing the Prytt direct access to the individual's memory engrams. The devices could also be calibrated to connect two individuals, making them unable to move too far from one another without causing both to experience nausea. While the main purpose of this was to keep prisoners from wandering very far from one another, it also had the side effect of allowing them to read one another's thoughts.",prison,1993,2071,79,dystopia,Invasive,0.367088608,0.162921348,0.443820225,Psi-wave transceiver,Gene Roddenberry,Paramount Pictures,Paramount Television,1-Jan-93
135,Mona Lisa Overdrive,headset,control of the user,,Novel,"A technique to focus the attention of prisoners on a limited task, precluding the possibility of escape.
",prison,1988,2041,54,"dystopia, utopia",Non-invasive,0.62962963,0.18579235,0.295081967,BrainLock,William Gibson,N/A,N/A,1-Jan-88
136,Mona Lisa Overdrive,headset,control of the user,,Novel,"A type of mind control imposed on prisoners to make them more manageable during their prison time.
",prison,1988,2041,54,"dystopia, utopia",Non-invasive,0.62962963,0.18579235,0.295081967,Korsakov ‘s,William Gibson,N/A,N/A,1-Jan-88
137,Mona Lisa Overdrive,headset,linking,,Novel,"access computers directly, without using a keyboard or mouse (or any other input device). In this case, the connection is achieved by using a kind of webbing with electrodes embedded in it.
",N/A,1988,2041,54,"dystopia, utopia",Non-invasive,0.62962963,0.18579235,0.295081967,Trode-Net,William Gibson,N/A,N/A,1-Jan-88
138,Neuromancer,implant,linking,,"Movie, Novel, game, opera","An electronic device which, when implanted in the brain of the subject, allows software to take over that person's body.",XR,1986,2121,136,dystopia,Invasive,0.264705882,0.194594595,0.735135135,Neural Cut Out Chip,William Gibson,N/A,N/A,1-Jan-86
139,The Vindicator,software,control of the user,,Movie,"""rage program"" software that can sense when a user is provoked/endangered and take over its brain to destroy the attacker and then return to normal once the threat has been eliminated",violence,1986,2121,136,dystopia,N/A,0.264705882,0.194594595,0.735135135,N/A,Jean-Claude Lord,20th Century Fox,Michael Levy Enterprises,1-Jan-86
140,Spin State Trilogy,N/A,control of the user,,Novel,Hardware memory backups to allow other people or AI control person’s body,memories,2003,2121,119,dystopia,N/A,0.159663866,0.113095238,0.708333333,N/A,Chris Moriarty,N/A,N/A,1-Jan-03
141,Embedded,N/A,"consciousness transfer, control of the user",,Novel,"Sharing consciousness, taking over the body",consciousness,2011,2121,111,"dystopia, utopia",N/A,0.099099099,0.06875,0.69375,N/A,Dan Abnett,N/A,N/A,1-Jan-11
142,Fringe,"implant, tool","control of the user, dreams, manipulation",,TV Series,"Mind control is mentioned in the ""Pilot"", but not explored further until The Equation where a device that uses a series of flashing green and red lights appears to induce a hypnogogic state that psychologically freezes a man while his son is being abducted. Later Walter perfects his own version of the device and causes Peter to cut off his own shirt sleeves. In each case the victim does not remember any of the period where they were under mind control.
A more intrusive version of this phenomena was explored in ""Dream Logic"", where Dr. Laxmeesh Nayak has created an brain implanted chip with the pretext of helping sleep disorder sufferers. Although Dr. Nayaks motivations aren't completely clear, he apparently is using his device to both experience their dreams and induce hallucinations in his victims at the same time. While not directly mind control, the induced hallucinations can trigger behaviors beyond the conscious control of the victim.
A direct ability of controlling a physical body is demonstrated by Tyler Carson in ""Of Human Action"" where he appears to have the power to override voluntary muscle behavior of other people within a certain range. Walter somehow determined a method of counteracting this ability using ""white noise"".",manipulation,2008,2121,114,dystopia,"Invasive, Non-invasive",0.122807018,0.085889571,0.699386503,N/A,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Warner Bros. Television,"Bad Robot Productions, Warner Bros. Television",1-Jan-08
143,Upgrade,implant,"control of the user, linking, recording brain activity, rehabilitation, storage",,Movie,"STEM - implant used for linking, stimulation",N/A,2018,2071,54,"dystopia, utopia",Invasive,0.074074074,0.026143791,0.352941176,N/A,Leigh Whannell,"BH. Tilt, OTL Releasing","Blumhouse Productions, Goalpost Pictures",1-Jan-18
144,The Manchurian Candidate,implant,control of the user,,"Movie, Novel","For a means of mind control, the presidential hopeful Raymond Shaw unknowingly has a chip implanted in his head by Manchurian Global, a fictional geopolitical organization aimed at making parts of the government sleeper cells, or puppets for their monetary advancement.",geopolicy,2004,2071,68,dystopia,Invasive,0.264705882,0.107784431,0.407185629,N/A,"Jonathan Demme, Richard Condon",Paramount Pictures,Scott Rudin Productions,1-Jan-04
145,Hardwired,implant,"advertisement, control of the user",,Movie,"Luke has severe brain damage, but Hope Corporation agrees to implant a chip into his brain to save his life. He discovers that this chip also constantly sends advertisements until either the person obtains the product, or they go insane.",advertisement,2009,2051,43,dystopia,Invasive,0.302325581,0.080246914,0.265432099,psi-comp implant,Ernie Barbarash,Sony Pictures Home Entertainment,Stage 6 Films,1-Jan-09
146,AI: The Somnium Files,implant,"XR, control of the user, dreams, manipulation",,game,"a direct neural interface is used to invasively interface the thoughts and dreams of two individuals to the extent that one person could forcibly extract information from another person's brain. Although the ethics of it are not discussed much, the significant concerns presented by this sort of technology, such as blending of the minds of connected individuals or trading thereof, and forced invasive interfacing are brought up and form part of the core narrative. AI: The Somnium Files takes place in a technologically advanced near-future Tokyo, and follows Special Agent Kaname Date of the top-secret police department ABIS (Advanced Brain Investigation Squad). ABIS investigates crimes through a process called ""Psyncing,"" in which a Psyncer such as Date explores the Somnium, or dream world, of persons of interest in a case. Psyncing is a powerful process that can often retrieve clues the subject is only subconsciously aware of, but it is limited to a maximum of six minutes for the Psyncer and subject's safety.
Date is assisted by an artificial intelligence housed in his cybernetic left eye named Aiba, who can communicate with Date via an artificial nerve, provide him with enhanced vision modes such as X-Ray and night vision, and hack various electronics. Aiba also assists Date's dream world investigations by acting as his avatar in Somnium.",mind-sharing,2019,2146,128,dystopia,Invasive,0.0234375,0.019736842,0.842105263,Psyncing,Spike Chunsoft,N/A,Spike Chunsoft,1-Jan-19
147,Futurama,lifeform,control of the user,,sitcom,"Brain Slugs are a species of space parasite that attaches its jelly-like body to a person's head and takes control of their brain. The specimen is green in color and consists of a translucent jelly-like body complete with two feelers and one large eyeball. An adult brain slug is about the size of a fist. A person who has been possessed by a brain slug is most likely to adopt a monotone voice and will do everything in its power to aid the spreading of the brain slug population across the universe. The easiest way to tell if someone is infected is the Brain Slug mass which sits atop of their head. Although the Brain Slug is in control of the host, the human is still aware of itself and the parasite's presence, which Hermes referred to as a 'nightmare'. The recommended procedure to deal with a Brain Slug victim is to act natural and switch to a garlic shampoo. Another way to avoid being possessed is to wear a helmet. Fortunately, the brain slug is not the most intelligent of creatures and can be removed quite simply without significantly harming the host human's head. Once removed from the afflicted victim's head, the person immediately returns to normal.","manipulation, parasites",2000,2121,122,dystopia,Non-invasive,0.180327869,0.128654971,0.713450292,Brain Slug,Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",1-Jan-00
148,Sword Art Online,helmet,"XR, control of the user, emotions, linking, manipulation",,"Anime, Movie, Novel, game","The AmuSphere's design incorporates various sensors that continually monitor blood pressure and brain waves and provoke a safety logout feature in case that the person's status becomes abnormal. In addition, the AmuSphere does not completely block out signals from the body, like NerveGear did, so some players may pay extra for specialized rooms designed to make the experience in the virtual world more real by excluding the sounds and sensations from the outside.",gaming,2009,2031,23,"dystopia, utopia",Non-invasive,0.565217391,0.080246914,0.141975309,AmuSphere,Reki Kawahara,Aniplex,A-1 Pictures,1-Jan-09
149,X-Men,helmet,"manipulation, reading thoughts, telepathy",,"Movie, comics, game","Cerebro amplifies the brainwaves of the user. In the case of telepaths, it enables the user to detect traces of others worldwide, also able to distinguish between humans and mutants. Depictions of its inherent strength have been inconsistent; at times in the storylines it could detect mutated aliens outside of the planet, when at others it could only scan for mutants' signatures in the United States. It is not clear whether it finds mutants by the power signature they send out when they use their powers or by the presence of the X-gene in their body; both methods have been used throughout the comics.
Using Cerebro can be extremely dangerous, and telepaths without well-trained, disciplined minds put themselves at great risk when attempting to use it. This is due to the psychic feedback that users experience when operating Cerebro. As the device greatly enhances natural psychic ability, users who are unprepared for the sheer enormity of this increased psychic input can be quickly and easily overwhelmed, resulting in insanity, coma, permanent brain damage or even death. The one exception has been Magneto, who has been said to have minor or latent telepathic abilities as well as experience amplifying his mental powers with mechanical devices of his own design. Some mutants have learned to shield themselves from Cerebro, usually via their own telepathic ability. Magneto can shield himself from the device through use of minimal telepathic powers; in the film series, he does so with a specially constructed helmet. Originally, Cerebro was a device similar to a computer that was built into a desk in Xavier's office. This early version of Cerebro operated on punched cards, and did not require a user (telepathic or otherwise) to interface with it. A prototype version of Cerebro named Cyberno was used by Xavier to track down Cyclops in the ""Origins of the X-Men"" back-up story in X-Men Volume 1 #40. In the first published appearance of Cerebro, X-Men Volume 1 #7, Professor X left the X-Men on a secret mission (to find Lucifer) and left Cerebro to the new team leader, Cyclops, who used it to keep track of known evil mutants and to find new evil mutants. The device also warned the X-Men of the impending threat posed by the non-mutant Juggernaut prior to that character's first appearance. Later, the device was upgraded to the larger and more familiar telepathy-based technology with its interface helmet. More recently, following the example set by the X-Men films, Cerebro has been replaced by Cerebra (referred to as Cerebro's big sister), a machine the size of a small room in the basement of Xavier's School For Higher Learning. Though designed to resemble the movie version of Cerebro, Cerebra is much smaller than the films' version. It resembles a pod filled with a sparkling fog that condenses into representations of mental images.",N/A,1964,2171,208,dystopia,Non-invasive,0.278846154,0.280193237,1.004830918,Cerebro,"Jack Kirby, Stan Lee",20th Century Fox,"20th Century Fox, Marvel Studios",1-Jan-64
150,Star Trek: Deep Space Nine,implant,"manipulation, reading thoughts, telepathy",,"Movie, TV Series, comics, game","A synaptic stimulator was a small device capable of directly accessing an individual's nervous system.
The Akritirian culture of the Delta Quadrant utilized synaptic stimulators as a form of control over their prison population. Known as ""the clamp,"" it operated by stimulating the production of acetylcholine in the victim's hypothalamus, essentially helping to stimulate one's aggressive tendencies. This ensured that prisoners constantly fought among themselves, instead of organizing and potentially posing a threat to order.",prison,1999,2071,73,dystopia,Invasive,0.315068493,0.13372093,0.424418605,synaptic stimulator,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-99
151,Star Trek (2009),tool,manipulation,,"Movie, TV Series, comics, game","A thought maker was a device designed to control the neural activity or ""brainwash"" the humanoid brain, making the subject highly susceptible to suggestion. It was illegal to use or even possess one of these devices.
It was also called a ‘mind-altering machine’.","brainwash, suggestions",2009,2041,33,dystopia,non-contact,0.393939394,0.080246914,0.203703704,Thought Maker,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Paramount Pictures,"Bad Robot Productions, Spyglass Entertainment",1-Jan-09
152,Star Trek: The Original Series,tool,"emotions, manipulation, reading thoughts",,"Movie, TV Series, comics, game","The neural neutralizer was essentially a beam emitter, a round orange lens that was located in a treatment room, above a chair in which the patient sat. A windowed alcove, connected to the room, housed a control panel, which was used for manually operating the device, and space for the therapist, who could view the patient through the window.
The neural neutralizer was somewhat effective as a means of implanting suggestions. It created in the patient a profound sense of loneliness, also described as an ""emptiness"". Anything said to the patient while he was in this state would become his own thoughts. The effectiveness varied according to the complexity of the suggestion, the number of times it had been repeated, the volume of the beam, the strength of the patient's will, and the degree to which the suggestion was opposed by his own desires. Long term or repeated exposure could produce profound mental illness and synaptic damage. Additionally, the ""emptying"" effect could be immediately lethal.",suggestions,1966,2041,76,dystopia,Non-invasive,0.736842105,0.273170732,0.370731707,Neural neutralizer,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",1-Jan-66
153, Star Trek: Insurrection,N/A,manipulation,,"Movie, comics, game","A neurogenic field is an energy form produced by certain lifeforms, capable of inducing extremely realistic illusions in the minds of others.",simulations,1998,2021,24,dystopia,N/A,1,0.138728324,0.138728324,Neurogenic field,Jonathan Frakes,Paramount Pictures,Paramount Pictures,1-Jan-98
154,Stars in My Pocket Like Grains of Sand,N/A,"emotions, manipulation",,Novel,"Radical Anxiety Termination (RAT), a procedure that eliminates all mental distress but also renders the patient incapable of self-determination.",cooperation,1984,2096,113,dystopia,N/A,0.336283186,0.203208556,0.604278075,Radical Anxiety Termination (RAT),Samuel  R. Delany,N/A,N/A,1-Jan-84
155,Axiomatic,drug,manipulation,,Novel,"""neural mods"", usually presented as small tubes containing powder inhaled through the nose, which alter the brains of their users",manipulation,1995,2026,32,dystopia,N/A,0.84375,0.153409091,0.181818182,neural mod,Greg Egan,N/A,N/A,1-Jan-95
156,Avatar,MRI,"consciousness transfer, linking",,Movie,"Avatar Control Link, Bed Unit, Link Unit. An avatar driver uses a whole-body remote neural interface to control and animate the avatar body. These link units are located in a dedicated facility, such as that installed at the Hell's Gate base on Pandora. The link beds outwardly resemble MRI scanners, with the operator reclining inside an enclosed capsule. The capsule incorporates neural collection and feedback loops for control transmission and reception of sensory information from the avatar body. The link capsule also continuously monitors operator vital signs and avatar operational parameters. In the event of an abnormality, the link is discontinued immediately or referred to a BioLab technician for further analysis.
To initiate the link, the operator clears his or her mind and enters a transit state of consciousness while the link is established. Once operator-avatar connection quality stabilizes above 99%, the link is set to active; the operator then immediately 'wakes up' inside the avatar body. The operator's own neurotransmitters then cause atonia, disconnecting the operator's natural body from the movements played out by the avatar. Continuous link times vary by individual operator; a new operator may tire and prematurely disconnect from the avatar after only a few minutes, while an experienced driver is capable of several hours or even days link time. Upon disconnection, either by emergency fail-safe or the operator's conscious command, the avatar reverts to a static sleep state, while the operator's consciousness is awakened safely in his or her own body. Disorientation is common upon return, although experience reduces downtime. Emergency disconnections are dangerous, potentially resulting in shock to the human operator and damage to the avatar itself. Catastrophic damage to the avatar, resulting in its biological death, has the same effect.
Avatar operations are limited by the need for the human operator to sleep, rest, and eat. Similarly, the avatar body must be maintained through periods of activity alternating with sleep/disconnection time as well as by consumption of fluids and foodstuffs.
The link machinery is small enough to allow for field operation where link transmission range may become an issue. Compact field bases feature a bank of three ruggedized link beds. Basic science/accommodation facilities are included with embedded power and air filtration, making them fully self-sufficient for short sorties into the Pandoran jungle. The field base can be air-lifted using a Samson air transport to reach remote locations. Although occasionally prone to 'glitches', transmission strength is strong enough to ensure link integrity even in extreme environments such as the flux vortices found in the Hallelujah Mountains of Pandora.
",military,2009,2146,138,utopia,Non-invasive,0.094202899,0.080246914,0.851851852,Avatar Control Link ,James Cameron,20th Century Fox,"20th Century Fox, LightStorm Entertainment",1-Jan-09
157,"The Red, Trilogy",implant,"control of the user, knowledge upload, linking, manipulation",,Novel,"permanent monitoring “skullcap” implanted in the head. the technology is also far from perfect. It is not uncommon for soldiers like Shelley to become “emo-junkies”, becoming overly dependent on the processes of the skullcaps they wear. You can never be sure whether or not the emotions you feel are really yours, or if they are being controlled or altered by the skullnet. This question of “what’s real vs. what’s not” is a recurring theme that pops up throughout the novel, in many different contexts.",military,2013,2121,109,dystopia,Invasive,0.082568807,0.056962025,0.689873418,skullcap,Linda Nagata,N/A,N/A,1-Jan-13
158,Blade Runner: Do Androids Dream of Electric Sheep?,helmet,manipulation,,"Movie, Novel, comics, game","The trend of increased empathy has coincidentally motivated a new technology-based religion called Mercerism, which uses ""empathy boxes"" to link users simultaneously to a virtual reality of collective suffering","empathy, religion, suffering",1968,2031,64,dystopia,N/A,0.84375,0.266009852,0.315270936,empathy box,"Philip K. Dick, Ridley Scott",Warner Bros. Pictures,"Shaw Brothers, The Ladd Company",1-Jan-68
159,"No, No, Not Rogov!",implant,"emotions, linking",,Novel,A machine that makes it possible to experience the sensations of another person at a distance.,distance interfacing,1958,2071,114,"dystopia, utopia",Invasive,0.561403509,0.300469484,0.535211268,Espionage Machine,Cordwainer Smith,N/A,N/A,1-Jan-58
160,The Outer Limits,implant,emotions,,TV Series,chip that could restore emotion to alexithymia sufferers. After the chip has been implanted Beth experiences emotions for the first time.,emotions,1997,2096,100,utopia,Invasive,0.25,0.143678161,0.574712644,N/A,Leslie Stevens,United Artists Television,"Daystar Productions, United Artists Television",1-Jan-97
161,The Simpsons,tool,emotions,,sitcom,"System which reads brain activity and emotions of people on distance, no contact with the head or body of the person needed.",distance interfacing,2018,2031,14,"dystopia, utopia","Non-invasive, non-contact",0.285714286,0.026143791,0.091503268,Creativity Assessment System,Matt Groening,"20th Television, Fox","20th Television, Gracie Films",1-Jan-18
162,Algorithm: Bliss,tool,emotions,,Movie,"transfer emotions from one human being to another, through brain waves and computer technology",pleasure,2020,2096,77,"dystopia, utopia",N/A,0.025974026,0.013245033,0.509933775,N/A,"Dena Hysell-Cornejo, Isak Borg",Green Apple Entertainment,"Elpis Films, Rumpus Room Productions",1-Jan-20
163,The Expanse,helmet,emotions,,"Novel, TV Series","Device to turn off the empathy.
Transcranial magnetic hyperstimulation is a procedure that can be used to inhibit empathy.
The procedure involves administering mind-altering drugs, then exposing parts of the brain to a strong electromagnetic field, producing electrical currents which impede the temporal parietal junction. The procedure be made temporary or permanent.",empathy,2017,2071,55,dystopia,Non-invasive,0.090909091,0.032467532,0.357142857,N/A,"Hawk Ostby, James S. A. Corey, Mark Fergus",Legendary Television Distribution,Amazon Studios,1-Jan-17
164,Fragments of a Hologram Rose ,N/A,"emotions, memory",,Novel,"This is William Gibson's first published story and is about a simstim technology called 'Apparent Sensory Perception' (ASP). The narrator, whose girlfriend Angela has just left him, finds two of her possessions in his room: a postcard with a hologram rose and an ASP tape. He shreds the postcard into a thousand fragments and watches the tape, which has been erased except for a short sequence of Angela's holiday in Greece. Afterwards, he muses about what it was like before being able to record and play back the full range of sensory perception of another person. He compares people with the fragments of the hologram, since every fragment shows the whole image from a different angle.Apparent Sensory Perception is a technology that records and replays experiences and sensoriums. ASP is mentioned only in Fragments of a Hologram Rose and it seems to be an equivalent to the SimStim of the Sprawl Trilogy.","hologram, simstim",1977,2096,120,"dystopia, utopia",N/A,0.375,0.231958763,0.618556701,N/A,William Gibson,N/A,N/A,1-Jan-77
165,The Simpsons,"helmet, tank with water",emotions,,"comics, game, sitcom",sensory deprivation device,emotions,2019,2071,53,dystopia,Non-invasive,0.056603774,0.019736842,0.348684211,Helmet,Matt Groening,"20th Television, Fox","20th Television, Gracie Films",1-Jan-19
166,Accel World,collar,"XR, linking, reading thoughts, telepathy",,"Anime, Novel, game","Collar like personal computer that can communicate wirelessly with the user's brain. It has two functions: ""Virtual Reality"" and ""Augmented Reality"". It is a very personal method of synchronization that is done by cable. If the wire is plugged in the Neuro Linker, then the two in who they are plugged in, can talk in secret. It is mostly used by lovers",XR,2009,2121,113,"dystopia, utopia",Non-invasive,0.115044248,0.080246914,0.697530864,Neuro Linker,Reki Kawahara,N/A,Sunrise,1-Jan-09
167,The Nightmare Man,implant,linking,,"Movie, Novel, TV Series",Pilot of a submarine is linked to his craft via brain implant,military,1981,2041,61,utopia,Invasive,0.672131148,0.215789474,0.321052632,N/A,"David Wiltshire, Robert Holmes",BBC,BBC,1-Jan-81
168,Shadowrun,implant,"communication, linking",,game,"direct neural interface technology enabled humans and metahumans to directly access computers and the Matrix, the global computer network restructured after the 2029 Crash. Access to the Matrix was accomplished by ""deckers"": individuals that have ""cyberdecks"", portable or worn computing devices that are interface with the user's brain through a brain–computer interface implant called a ""datajack"", that is typically located at the temple or behind the ear.",network,1989,2121,133,dystopia,Invasive,0.248120301,0.181318681,0.730769231,Datajack,N/A,N/A,N/A,1-Jan-89
169,The Matrix,implant,"consciousness transfer, knowledge upload, linking, reality, storage",,"Movie, comics","A headjack is the small data port created on synthetically-grown humans who become connected to the neural-interactive virtual reality known as the Matrix. The headjacks were located at the base of the skull, just above where the neck meets the back of the head. Approximately 1 inch (2.54 cm) in diameter, it provided room within the otherwise close quarters of the human cranium for a data probe approximately 8 inches (20 cm) in length and 0.79 inches (2 cm) in diameter. These were installed during the synthetic humans' fetal stages and altogether redirected the brain's signals into any data probe plugged into the headjack. The headjack was the interface used to primarily connect to the Matrix. More than just connecting to the Matrix, however, the headjack was also used by redpills to connect to any compatible simulated reality like the Construct. Once a redpill was connected to either the Matrix or the Construct, the headjack could then be used to upload data directly into the human brain. This was used by the Resistance to great effect, uploading instructional information to support agents during training and even during mission proper. Some examples of the upload-able information used by the operatives were gun handling, a range of self defense and martial arts techniques, and helicopter piloting.
The manner by which the headjack and data probe worked had not been sufficiently described. But communication by the headjack was probably a mixture of electrical and electromagnetic transmissions, where the headjack was the central interface, with perhaps thousands of tiny connectors or electrodes that meld into and throughout the synthetic brain, or woven through the central nervous system at the brain stem.",XR,1999,2121,123,utopia,Invasive,0.18699187,0.13372093,0.715116279,Headjack,The Wachowskis,Warner Bros. Pictures,"Village Roadshow Pictures, Warner Bros. Pictures",1-Jan-99
