[id] ID,[title] TITLE,[date] DATE,[sem] Description,[cat] Form-factor,[cat] Category of BCI,[cat] Type of Media,[cat] Keywords,[quant] Date,[quant] Prediction,[quant] BCI forecast,[quant] Reality factor,[quant] Neurafictionality,[quant] Neuroptimism,[quant] Utopianism,[quant] Invasiveness,[cat] Author/Directed by,[cat] Distributed by,[cat] Production Company
101,"Dollhouse, S1 EP1 “Ghost”",2009,Agents working for the Dollhouse have their minds wiped and replaced while sitting in a reclining chair,chair,memory,TV Series,N/A,2009,2146,138,0.0942029,0.08024691,0.13369644,0,0.25,Joss Whedon,20th Television,"20th Century Fox Television, Mutant Enemy Productions"
102,Flight of the Navigator,1986,helmet demonstrating hidden knowledge within the brain of the user,helmet,"communication, knowledge upload, reading thoughts, storage, telepathy",Movie,N/A,1986,2146,161,0.22360248,0.1945946,0.13663283,0.5,0.25,Randel Kleiser,Buena Vista Pictures Distribution,PSO Productions
103,The Lawnmower Man,1992,enhancement of cognitive activity ,helmet,XR,Movie,N/A,1992,2146,155,0.19354839,0.16759777,0.13593957,0,0.25,Brett Leonard,New Line Cinema,Allied Vision
104,Metropolis,1925,"Maschinenmensch is a gynoid (female robot or android) created by the scientist Rotwang. The robot is often referred to as ""Maria"", and is well known for this, but was technically never named in the film. In the beginning credits of the film, it is simply referred to as ""the Robot"". She was named ""Futura"" in Thea von Harbou's original novel Metropolis. Maschinenmensch was one of the first robots ever depicted in cinema. Rotwang copies Maria’s mind into a robot. As the extraction occurs, electricity arcs between Maria’s chamber and a sphere directly above it, and strange chemicals bubble in flasks. The helmet she wears in the chamber is a material conduit and doesn’t provide any signal. We know the data—in this case, her mind—has been copied when we see the robot’s stiff, metallic appearance transform until it looks and moves just like Maria.",helmet,"consciousness transfer, manipulation","Movie, Novel",N/A,1925,2146,222,0.43693694,0.39430894,0.14176139,0,0.25,Thea von Harbou,Parufamet,UFA (Germany)
105,"Dollhouse, S1 EP13 ""Epitaph""",2010,jacks implanted in the face that let people upload and erase information and skill modules at will,implant,"control of the user, knowledge upload, linking, manipulation",TV Series,N/A,2010,2146,137,0.08759124,0.07453416,0.13354974,0.5,0.75,David Solomon,20th Television,"20th Century Fox Television, Mutant Enemy Productions"
106,"Buck Rogers, War of the Planets ",1939,"amnesia helmet, to control and manipulate the user, and give them the orders",helmet,"control of the user, memory","Novel, TV Series",N/A,1939,2041,103,0.80582524,0.35775862,0.06866841,0,0.25,"Ford Beebe, Philip Francis Nowlan",Universal Pictures,Universal Pictures
107,Rick and Morty,2015,"This is a helmet that reads the thoughts and feelings of a person about their love partner. The helmet is attached to a machine that creates one’s live perception of their love partner, a mytholog. The idea behind the therapy is that the perceptions (mythologs) are not the real marriages and that they are all safe from the perceptions.",helmet,"emotions, reading thoughts","comics, game, sitcom",N/A,2015,2121,107,0.06542056,0.0448718,0.10723885,0.5,0.25,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season
108,Rick and Morty,2015,machine that transfers consciousness,"stand-alone electrodes, tank with water",consciousness transfer,"comics, game, sitcom",N/A,2015,2146,132,0.0530303,0.0448718,0.13278803,0.5,0.25,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season
109,Hotel Transylvania 3: Summer Vacation,2018,"one of the heroes, Van Helsing, has his body fully mechanized, to avoid death but his brain is fully functioning.",exoskeleton,exoskeleton,Anime,N/A,2018,2071,54,0.07407407,0.02614379,0.05415669,1,N/A,Genndy Tartakovsky,Sony Pictures Releasing,"Columbia Pictures, Sony Pictures Animation"
110,OtherLife,2017,"OtherLife is a biological form of virtual reality called that can create realistic memories. OtherLife transports users’ brains into VR-esque settings where they experience all the senses they use in reality. Also, importantly, their grasp of time is expanded, meaning seconds or minutes in real life are experienced as days, months or years inside the user’s modified mind.",drug,"XR, memory, reality",Movie,N/A,2017,2146,130,0.03846154,0.03246753,0.13246949,0.5,0.25,Ben C. Lucas,Netflix,"Cherry Road Films, See Pictures"
111,Self Less,2015,one's consciousness is transferred to an artificially grown body,MRI,consciousness transfer,Movie,N/A,2015,2146,132,0.0530303,0.0448718,0.13278803,0.5,0.25,Tarsem Singh,Focus Features,Endgame Entertainment
112,Reversion,2015,"Oubli is a sleek earpiece that, through neuroscience, allows the user to access and relive only happy memories.",earpiece,memory,Movie,N/A,2015,2096,82,0.08536585,0.0448718,0.08168968,0,0.25,Jose Nestor Marquez,N/A,"Angel Valley Productions, Serena Films"
113,Rememory ,2017,"a device that allows one to record memories and watch them. Bloom sets about trying to solve the murder using this memory machine. Bloom learns that Dunn’s device has a technical fault which causes recurring hallucinations for its users including him. Most of the users have been quite upset with Dunn, directly blaming him for their mental deterioration. He also finds out that Dunn and his wife Carolyn (Julia Ormond) were separated after they lost their only daughter in an accident. After a confrontation with one of his patients, Dunn realized how much pain his machine caused people and attempted to use it to erase his own painful memories. However, doing so resulted in his death when the machine sent him into synaptic failure.
Bloom re-watches his “accident memory” and finds out that the Dunns were in the other car and that their daughter was killed in the collision. Bloom had fled the scene after seeing the little girl dead, leaving his brother to take the fall. Bloom hands over his memory to Carolyn as a sort of confession apology. Time passes and it is unclear if she watches the memory glass, later she throws it into the sea with Dunn’s recordings as she watches her daughter playing on the water—a hallucination resulting from her own use of the memory device. A montage of the lives of everyone affected by the device is shown over the launch of the repaired memory device while a recording by Dunn plays describing the power of memories for a person.",headset,memory,Movie,N/A,2017,2096,80,0.0625,0.03246753,0.08070753,0,0.25,Mark Palansky,Lionsgate Premiere,"First Point Entertainment, Great Point Media"
114,G.I. Joe: The Rise of Cobra,2009,"Nanomite warheads
Nanomites, also known as nano-mites or nanites are extremely microscopic robot forms usually measuring in the incredible scale of nanometers. They have been used by both Joe and Cobra forces in their never-ending battle to stop each other. Military use is not the only way to utilize these amazing machines as there are also more beneficial applications such as in the field of medicine and construction. Nanomite-enhanced Neo-Vipers, soldiers who are completely obedient, fearless, and feel no pain. The nanomites can also expunge any toxins from the body, making them ""perfect little healers,"" and are able to heal almost any injury. The Doctor had also used nanomites on his sister,",implant,N/A,"Movie, game",military,2009,2041,33,0.39393939,0.08024691,0.03036423,0,0.75,Stephen Sommers,Paramount Pictures,"Di Bonaventure Pictures, Spyglass Entertainment"
115,The Consolidator,1705,A device which improves the rationality of the thinking processes.,chair,stimulation,Novel,N/A,1705,2071,367,0.86376022,0.68025751,0.12344558,1,0.25,Daniel Defoe,N/A,N/A
116,The Ancient Brain,1929,A device used to artificially stimulate cell growth and development.,N/A,stimulation,Novel,N/A,1929,2041,113,0.82300885,0.38429752,0.0723315,0.5,N/A,A.G. Stangland,N/A,N/A
117,Brain Control,1937,A device that activates memories and plays them back in reverse order.,helmet,"memory, stimulation",Novel,N/A,1937,2146,210,0.40476191,0.36324786,0.14096376,0.5,0.25,Dave Cummins,N/A,N/A
118,The Ancient Brain,1929,A stamped metal record that contains all of a person's data in a convenient form.,"chair, helmet",recording brain activity,Novel,N/A,1929,2071,143,0.65034965,0.38429752,0.09209516,0.5,0.25,A.G. Stangland,N/A,N/A
119,"Ben Gleed, King of Speed",1939,A device that coordinated the waves of the brain with an external device to improve performance,N/A,"linking, stimulation",Novel,N/A,1939,2071,133,0.62406015,0.35775862,0.08928395,0.5,N/A,Don Wilcox,N/A,N/A
120,The Knowledge Machine,1948,A special metal helmet for electro-education,N/A,"knowledge upload, stimulation",Novel,education,1948,2121,174,0.42528736,0.33183857,0.12228422,0.5,N/A,Michael Strevens,N/A,N/A
121,The Knowledge Machine,1948,Deleting selected knowledge from the brain using electrical impulses,N/A,"memory, stimulation",Novel,education,1948,2096,149,0.4966443,0.33183857,0.10441126,0,N/A,Michael Strevens,N/A,N/A
122,Cities in Flight,1957,A device that stimulates the brain and imparts knowledge directly,N/A,"knowledge upload, stimulation",Novel,education,1957,2146,190,0.34210526,0.30373832,0.13943559,0.5,N/A,James Blish,N/A,N/A
123,A Planet Named Shayol,1961,A device that delivers amps of pleasure directly to the brain,N/A,stimulation,Novel,pleasure,1961,2071,111,0.54954955,0.29047619,0.08215686,0.5,N/A,Cordwainer Smith,N/A,N/A
124,Known Space,1964,"A device that fires an inductance beam which stimulates the pleasure center of the brain, creating an instant feeling of total and pure joy, ecstasy. It's used to render threatening opponents completely helpless. Enough exposure to the tasp causes addiction, making the victim an unwitting slave.","implant, tool",stimulation,Novel,"addiction, pleasure",1964,2071,108,0.53703704,0.28019324,0.08106761,0,0.5,Larry Niven,N/A,N/A
125,Known Space,1964,"A device that fires an inductance beam which stimulates the pleasure center of the brain, creating an instant feeling of total and pure joy, ecstasy. It's used to render threatening opponents completely helpless. Enough exposure to the tasp causes addiction, making the victim an unwitting slave.","implant, tool",stimulation,Novel,"addiction, pleasure",1964,2071,108,0.53703704,0.28019324,0.08106761,0,0.5,Larry Niven,N/A,N/A
126,The Three Stigmata of Palmer Eldritch,1965,"A person who as undergone E therapy, and achieved the frontal lobe of their dreams.",N/A,stimulation,Novel,N/A,1965,2221,257,0.22178988,0.27669903,0.19678499,0.5,N/A,Philip K. Dick,N/A,N/A
127,The Dream Master,1966,Photoelectric cell implanted in the forehead grants some vision to the blind.,implant,stimulation,Novel,N/A,1966,2071,106,0.52830189,0.27317073,0.08032373,1,0.75,Roger Zelazny,N/A,N/A
128,"Captain Scarlet and the Mysterons, EP6 ""Operation Time"" ",1967," pioneering medical device called the ""cerebral pulsator"", implant for stimulation and linking",implant,"linking, stimulation",TV Series,medical,1967,2096,130,0.42307692,0.26960784,0.09948393,0.5,0.75,Ken Turner,ITC Entertainment,Century 21 Productions
129,Star Trek: The Original Series,1967,"The device was operated by reaching directly into a subject's mind and recording every thought and bit of knowledge within. Designed with variable settings, which determined the amount of force used, it could be a mind sifter or a mind ripper to its subject. If too much force was used, it would cause brain damage leaving the mind permanently emptied and the subject a ""mental vegetable.""",N/A,"manipulation, reading thoughts, recording brain activity, stimulation","Anime, Movie, Novel, TV Series, comics, game",N/A,1967,2121,155,0.35483871,0.26960784,0.11902153,0,N/A,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television"
130,Riders of the Purple Wage,1967,Electrical stimulation of the pleasure centers of the brain.,implant,stimulation,Novel,pleasure,1967,2041,75,0.73333333,0.26960784,0.0565012,0,0.75,Philip Jose Farmer,N/A,N/A
131,Star Trek: The Original Series,1968,"A medical instrument used to stimulate particular areas of a humanoid brain. These devices could be operated by remote control, if necessary. In Star Trek, the device is mostly used to provide the critical life support after fatal wounds.","helmet, stand-alone electrodes",stimulation,"Anime, Movie, TV Series, comics, game",N/A,1968,2021,54,1,0.26600985,0.0402975,0.5,0.25,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television"
132,Sword Art Online,2009,"It only has a single interface that covers a player's whole head and face. It completely controls the player's consciousness by redirecting the signals the brain sends to the body and sending its own waves to stimulate the five senses. It has its own battery source, as well as a high frequency electromagnetic microwaves transmitter. Puzzles, education related games, or environmental type games were first produced for NerveGear.",helmet,"control of the user, manipulation","Anime, Movie, Novel, game",gaming,2009,2071,63,0.20634921,0.08024691,0.05988772,0.5,0.25,Reki Kawahara,Aniplex,A-1 Pictures
133,The Outer Limits,1996,The administrators are actually controlling the students through a chip inserted into their heads. They want to create a group of business executives who are willing to commit murder in order to make more money for their companies.,implant,control of the user,TV Series,education,1996,2096,101,0.25742574,0.14857143,0.08990045,0,0.75,Leslie Stevens,United Artists Television,"Daystar Productions, United Artists Television"
134,Star Trek: The Next Generation,1993,"Psi-wave transceiver were transceiver implants used by the Prytt for interrogation purposes. They were connected directly to the brain stem of an individual and slowly adapted to their psi-wave patterns, eventually allowing the Prytt direct access to the individual's memory engrams. The devices could also be calibrated to connect two individuals, making them unable to move too far from one another without causing both to experience nausea. While the main purpose of this was to keep prisoners from wandering very far from one another, it also had the side effect of allowing them to read one another's thoughts.",implant,"control of the user, memory, telepathy","Anime, Movie, TV Series, comics, game",prison,1993,2071,79,0.36708861,0.16292135,0.06864525,0,0.75,Gene Roddenberry,Paramount Pictures,Paramount Television
135,Mona Lisa Overdrive,1988,"A technique to focus the attention of prisoners on a limited task, precluding the possibility of escape.
",headset,control of the user,Novel,prison,1988,2041,54,0.62962963,0.18579235,0.04493237,0.5,0.25,William Gibson,N/A,N/A
136,Mona Lisa Overdrive,1988,"A type of mind control imposed on prisoners to make them more manageable during their prison time.
",headset,control of the user,Novel,prison,1988,2041,54,0.62962963,0.18579235,0.04493237,0.5,0.25,William Gibson,N/A,N/A
137,Mona Lisa Overdrive,1988,"access computers directly, without using a keyboard or mouse (or any other input device). In this case, the connection is achieved by using a kind of webbing with electrodes embedded in it.
",headset,linking,Novel,N/A,1988,2041,54,0.62962963,0.18579235,0.04493237,0.5,0.25,William Gibson,N/A,N/A
138,Neuromancer,1986,"An electronic device which, when implanted in the brain of the subject, allows software to take over that person's body.",implant,linking,"Movie, Novel, game, opera",XR,1986,2121,136,0.26470588,0.1945946,0.11508866,0,0.75,William Gibson,N/A,N/A
139,The Vindicator,1986,"""rage program"" software that can sense when a user is provoked/endangered and take over its brain to destroy the attacker and then return to normal once the threat has been eliminated",software,control of the user,Movie,violence,1986,2121,136,0.26470588,0.1945946,0.11508866,0,N/A,Jean-Claude Lord,20th Century Fox,Michael Levy Enterprises
140,Spin State Trilogy,2003,Hardware memory backups to allow other people or AI control person’s body,N/A,control of the user,Novel,memories,2003,2121,119,0.15966387,0.11309524,0.11081574,0,N/A,Chris Moriarty,N/A,N/A
141,Embedded,2011,"Sharing consciousness, taking over the body",N/A,"consciousness transfer, control of the user",Novel,consciousness,2011,2121,111,0.0990991,0.06875,0.10849076,0.5,N/A,Dan Abnett,N/A,N/A
142,Fringe,2008,"Mind control is mentioned in the ""Pilot"", but not explored further until The Equation where a device that uses a series of flashing green and red lights appears to induce a hypnogogic state that psychologically freezes a man while his son is being abducted. Later Walter perfects his own version of the device and causes Peter to cut off his own shirt sleeves. In each case the victim does not remember any of the period where they were under mind control.
A more intrusive version of this phenomena was explored in ""Dream Logic"", where Dr. Laxmeesh Nayak has created an brain implanted chip with the pretext of helping sleep disorder sufferers. Although Dr. Nayaks motivations aren't completely clear, he apparently is using his device to both experience their dreams and induce hallucinations in his victims at the same time. While not directly mind control, the induced hallucinations can trigger behaviors beyond the conscious control of the victim.
A direct ability of controlling a physical body is demonstrated by Tyler Carson in ""Of Human Action"" where he appears to have the power to override voluntary muscle behavior of other people within a certain range. Walter somehow determined a method of counteracting this ability using ""white noise"".","implant, tool","control of the user, dreams, manipulation",TV Series,manipulation,2008,2121,114,0.12280702,0.08588957,0.10938937,0,0.5,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Warner Bros. Television,"Bad Robot Productions, Warner Bros. Television"
143,Upgrade,2018,"STEM - implant used for linking, stimulation",implant,"control of the user, linking, recording brain activity, rehabilitation, storage",Movie,N/A,2018,2071,54,0.07407407,0.02614379,0.05415669,0.5,0.75,Leigh Whannell,"BH. Tilt, OTL Releasing","Blumhouse Productions, Goalpost Pictures"
144,The Manchurian Candidate,2004,"For a means of mind control, the presidential hopeful Raymond Shaw unknowingly has a chip implanted in his head by Manchurian Global, a fictional geopolitical organization aimed at making parts of the government sleeper cells, or puppets for their monetary advancement.",implant,control of the user,"Movie, Novel",geopolicy,2004,2071,68,0.26470588,0.10778443,0.06280471,0,0.75,"Jonathan Demme, Richard Condon",Paramount Pictures,Scott Rudin Productions
145,Hardwired,2009,"Luke has severe brain damage, but Hope Corporation agrees to implant a chip into his brain to save his life. He discovers that this chip also constantly sends advertisements until either the person obtains the product, or they go insane.",implant,"advertisement, control of the user",Movie,advertisement,2009,2051,43,0.30232558,0.08024691,0.04020539,0,0.75,Ernie Barbarash,Sony Pictures Home Entertainment,Stage 6 Films
146,AI: The Somnium Files,2019,"a direct neural interface is used to invasively interface the thoughts and dreams of two individuals to the extent that one person could forcibly extract information from another person's brain. Although the ethics of it are not discussed much, the significant concerns presented by this sort of technology, such as blending of the minds of connected individuals or trading thereof, and forced invasive interfacing are brought up and form part of the core narrative. AI: The Somnium Files takes place in a technologically advanced near-future Tokyo, and follows Special Agent Kaname Date of the top-secret police department ABIS (Advanced Brain Investigation Squad). ABIS investigates crimes through a process called ""Psyncing,"" in which a Psyncer such as Date explores the Somnium, or dream world, of persons of interest in a case. Psyncing is a powerful process that can often retrieve clues the subject is only subconsciously aware of, but it is limited to a maximum of six minutes for the Psyncer and subject's safety.
Date is assisted by an artificial intelligence housed in his cybernetic left eye named Aiba, who can communicate with Date via an artificial nerve, provide him with enhanced vision modes such as X-Ray and night vision, and hack various electronics. Aiba also assists Date's dream world investigations by acting as his avatar in Somnium.",implant,"XR, control of the user, dreams, manipulation",game,mind-sharing,2019,2146,128,0.0234375,0.01973684,0.13214257,0,0.75,Spike Chunsoft,N/A,Spike Chunsoft
147,Futurama,2000,"Brain Slugs are a species of space parasite that attaches its jelly-like body to a person's head and takes control of their brain. The specimen is green in color and consists of a translucent jelly-like body complete with two feelers and one large eyeball. An adult brain slug is about the size of a fist. A person who has been possessed by a brain slug is most likely to adopt a monotone voice and will do everything in its power to aid the spreading of the brain slug population across the universe. The easiest way to tell if someone is infected is the Brain Slug mass which sits atop of their head. Although the Brain Slug is in control of the host, the human is still aware of itself and the parasite's presence, which Hermes referred to as a 'nightmare'. The recommended procedure to deal with a Brain Slug victim is to act natural and switch to a garlic shampoo. Another way to avoid being possessed is to wear a helmet. Fortunately, the brain slug is not the most intelligent of creatures and can be removed quite simply without significantly harming the host human's head. Once removed from the afflicted victim's head, the person immediately returns to normal.",lifeform,control of the user,sitcom,"manipulation, parasites",2000,2121,122,0.18032787,0.12865497,0.11163152,0,0.25,Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company"
148,Sword Art Online,2009,"The AmuSphere's design incorporates various sensors that continually monitor blood pressure and brain waves and provoke a safety logout feature in case that the person's status becomes abnormal. In addition, the AmuSphere does not completely block out signals from the body, like NerveGear did, so some players may pay extra for specialized rooms designed to make the experience in the virtual world more real by excluding the sounds and sensations from the outside.",helmet,"XR, control of the user, emotions, linking, manipulation","Anime, Movie, Novel, game",gaming,2009,2031,23,0.56521739,0.08024691,0.02052306,0.5,0.25,Reki Kawahara,Aniplex,A-1 Pictures
149,X-Men,1964,"Cerebro amplifies the brainwaves of the user. In the case of telepaths, it enables the user to detect traces of others worldwide, also able to distinguish between humans and mutants. Depictions of its inherent strength have been inconsistent; at times in the storylines it could detect mutated aliens outside of the planet, when at others it could only scan for mutants' signatures in the United States. It is not clear whether it finds mutants by the power signature they send out when they use their powers or by the presence of the X-gene in their body; both methods have been used throughout the comics.
Using Cerebro can be extremely dangerous, and telepaths without well-trained, disciplined minds put themselves at great risk when attempting to use it. This is due to the psychic feedback that users experience when operating Cerebro. As the device greatly enhances natural psychic ability, users who are unprepared for the sheer enormity of this increased psychic input can be quickly and easily overwhelmed, resulting in insanity, coma, permanent brain damage or even death. The one exception has been Magneto, who has been said to have minor or latent telepathic abilities as well as experience amplifying his mental powers with mechanical devices of his own design. Some mutants have learned to shield themselves from Cerebro, usually via their own telepathic ability. Magneto can shield himself from the device through use of minimal telepathic powers; in the film series, he does so with a specially constructed helmet. Originally, Cerebro was a device similar to a computer that was built into a desk in Xavier's office. This early version of Cerebro operated on punched cards, and did not require a user (telepathic or otherwise) to interface with it. A prototype version of Cerebro named Cyberno was used by Xavier to track down Cyclops in the ""Origins of the X-Men"" back-up story in X-Men Volume 1 #40. In the first published appearance of Cerebro, X-Men Volume 1 #7, Professor X left the X-Men on a secret mission (to find Lucifer) and left Cerebro to the new team leader, Cyclops, who used it to keep track of known evil mutants and to find new evil mutants. The device also warned the X-Men of the impending threat posed by the non-mutant Juggernaut prior to that character's first appearance. Later, the device was upgraded to the larger and more familiar telepathy-based technology with its interface helmet. More recently, following the example set by the X-Men films, Cerebro has been replaced by Cerebra (referred to as Cerebro's big sister), a machine the size of a small room in the basement of Xavier's School For Higher Learning. Though designed to resemble the movie version of Cerebro, Cerebra is much smaller than the films' version. It resembles a pod filled with a sparkling fog that condenses into representations of mental images.",helmet,"manipulation, reading thoughts, telepathy","Movie, comics, game",N/A,1964,2171,208,0.27884615,0.28019324,0.15808541,0,0.25,"Jack Kirby, Stan Lee",20th Century Fox,"20th Century Fox, Marvel Studios"
150,Star Trek: Deep Space Nine,1999,"A synaptic stimulator was a small device capable of directly accessing an individual's nervous system.
The Akritirian culture of the Delta Quadrant utilized synaptic stimulators as a form of control over their prison population. Known as ""the clamp,"" it operated by stimulating the production of acetylcholine in the victim's hypothalamus, essentially helping to stimulate one's aggressive tendencies. This ensured that prisoners constantly fought among themselves, instead of organizing and potentially posing a threat to order.",implant,"manipulation, reading thoughts, telepathy","Movie, TV Series, comics, game",prison,1999,2071,73,0.31506849,0.13372093,0.06555211,0,0.75,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television
151,Star Trek (2009),2009,"A thought maker was a device designed to control the neural activity or ""brainwash"" the humanoid brain, making the subject highly susceptible to suggestion. It was illegal to use or even possess one of these devices.
It was also called a ‘mind-altering machine’.",tool,manipulation,"Movie, TV Series, comics, game","brainwash, suggestions",2009,2041,33,0.39393939,0.08024691,0.03036423,0,0,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Paramount Pictures,"Bad Robot Productions, Spyglass Entertainment"
152,Star Trek: The Original Series,1966,"The neural neutralizer was essentially a beam emitter, a round orange lens that was located in a treatment room, above a chair in which the patient sat. A windowed alcove, connected to the room, housed a control panel, which was used for manually operating the device, and space for the therapist, who could view the patient through the window.
The neural neutralizer was somewhat effective as a means of implanting suggestions. It created in the patient a profound sense of loneliness, also described as an ""emptiness"". Anything said to the patient while he was in this state would become his own thoughts. The effectiveness varied according to the complexity of the suggestion, the number of times it had been repeated, the volume of the beam, the strength of the patient's will, and the degree to which the suggestion was opposed by his own desires. Long term or repeated exposure could produce profound mental illness and synaptic damage. Additionally, the ""emptying"" effect could be immediately lethal.",tool,"emotions, manipulation, reading thoughts","Movie, TV Series, comics, game",suggestions,1966,2041,76,0.73684211,0.27317073,0.05699297,0,0.25,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television"
153, Star Trek: Insurrection,1998,"A neurogenic field is an energy form produced by certain lifeforms, capable of inducing extremely realistic illusions in the minds of others.",N/A,manipulation,"Movie, comics, game",simulations,1998,2021,24,1,0.13872832,0.02000541,0,N/A,Jonathan Frakes,Paramount Pictures,Paramount Pictures
154,Stars in My Pocket Like Grains of Sand,1984,"Radical Anxiety Termination (RAT), a procedure that eliminates all mental distress but also renders the patient incapable of self-determination.",N/A,"emotions, manipulation",Novel,cooperation,1984,2096,113,0.33628319,0.20320856,0.09422653,0,N/A,Samuel  R. Delany,N/A,N/A
155,Axiomatic,1995,"""neural mods"", usually presented as small tubes containing powder inhaled through the nose, which alter the brains of their users",drug,manipulation,Novel,manipulation,1995,2026,32,0.84375,0.15340909,0.02687509,0,N/A,Greg Egan,N/A,N/A
156,Avatar,2009,"Avatar Control Link, Bed Unit, Link Unit. An avatar driver uses a whole-body remote neural interface to control and animate the avatar body. These link units are located in a dedicated facility, such as that installed at the Hell's Gate base on Pandora. The link beds outwardly resemble MRI scanners, with the operator reclining inside an enclosed capsule. The capsule incorporates neural collection and feedback loops for control transmission and reception of sensory information from the avatar body. The link capsule also continuously monitors operator vital signs and avatar operational parameters. In the event of an abnormality, the link is discontinued immediately or referred to a BioLab technician for further analysis.
To initiate the link, the operator clears his or her mind and enters a transit state of consciousness while the link is established. Once operator-avatar connection quality stabilizes above 99%, the link is set to active; the operator then immediately 'wakes up' inside the avatar body. The operator's own neurotransmitters then cause atonia, disconnecting the operator's natural body from the movements played out by the avatar. Continuous link times vary by individual operator; a new operator may tire and prematurely disconnect from the avatar after only a few minutes, while an experienced driver is capable of several hours or even days link time. Upon disconnection, either by emergency fail-safe or the operator's conscious command, the avatar reverts to a static sleep state, while the operator's consciousness is awakened safely in his or her own body. Disorientation is common upon return, although experience reduces downtime. Emergency disconnections are dangerous, potentially resulting in shock to the human operator and damage to the avatar itself. Catastrophic damage to the avatar, resulting in its biological death, has the same effect.
Avatar operations are limited by the need for the human operator to sleep, rest, and eat. Similarly, the avatar body must be maintained through periods of activity alternating with sleep/disconnection time as well as by consumption of fluids and foodstuffs.
The link machinery is small enough to allow for field operation where link transmission range may become an issue. Compact field bases feature a bank of three ruggedized link beds. Basic science/accommodation facilities are included with embedded power and air filtration, making them fully self-sufficient for short sorties into the Pandoran jungle. The field base can be air-lifted using a Samson air transport to reach remote locations. Although occasionally prone to 'glitches', transmission strength is strong enough to ensure link integrity even in extreme environments such as the flux vortices found in the Hallelujah Mountains of Pandora.
",MRI,"consciousness transfer, linking",Movie,military,2009,2146,138,0.0942029,0.08024691,0.13369644,1,0.25,James Cameron,20th Century Fox,"20th Century Fox, LightStorm Entertainment"
157,"The Red, Trilogy",2013,"permanent monitoring “skullcap” implanted in the head. the technology is also far from perfect. It is not uncommon for soldiers like Shelley to become “emo-junkies”, becoming overly dependent on the processes of the skullcaps they wear. You can never be sure whether or not the emotions you feel are really yours, or if they are being controlled or altered by the skullnet. This question of “what’s real vs. what’s not” is a recurring theme that pops up throughout the novel, in many different contexts.",implant,"control of the user, knowledge upload, linking, manipulation",Novel,military,2013,2121,109,0.08256881,0.05696203,0.10787273,0,0.75,Linda Nagata,N/A,N/A
158,Blade Runner: Do Androids Dream of Electric Sheep?,1968,"The trend of increased empathy has coincidentally motivated a new technology-based religion called Mercerism, which uses ""empathy boxes"" to link users simultaneously to a virtual reality of collective suffering",helmet,manipulation,"Movie, Novel, comics, game","empathy, religion, suffering",1968,2031,64,0.84375,0.26600985,0.04815104,0,N/A,"Philip K. Dick, Ridley Scott",Warner Bros. Pictures,"Shaw Brothers, The Ladd Company"
159,"No, No, Not Rogov!",1958,A machine that makes it possible to experience the sensations of another person at a distance.,implant,"emotions, linking",Novel,distance interfacing,1958,2071,114,0.56140351,0.30046948,0.08321543,0.5,0.75,Cordwainer Smith,N/A,N/A
160,The Outer Limits,1997,chip that could restore emotion to alexithymia sufferers. After the chip has been implanted Beth experiences emotions for the first time.,implant,emotions,TV Series,emotions,1997,2096,100,0.25,0.14367816,0.08951301,1,0.75,Leslie Stevens,United Artists Television,"Daystar Productions, United Artists Television"
161,The Simpsons,2018,"System which reads brain activity and emotions of people on distance, no contact with the head or body of the person needed.",tool,emotions,sitcom,distance interfacing,2018,2031,14,0.28571429,0.02614379,0.01247646,0.5,N/A,Matt Groening,"20th Television, Fox","20th Television, Gracie Films"
162,Algorithm: Bliss,2020,"transfer emotions from one human being to another, through brain waves and computer technology",tool,emotions,Movie,pleasure,2020,2096,77,0.02597403,0.01324503,0.07918552,0.5,N/A,"Dena Hysell-Cornejo, Isak Borg",Green Apple Entertainment,"Elpis Films, Rumpus Room Productions"
163,The Expanse,2017,"Device to turn off the empathy.
Transcranial magnetic hyperstimulation is a procedure that can be used to inhibit empathy.
The procedure involves administering mind-altering drugs, then exposing parts of the brain to a strong electromagnetic field, producing electrical currents which impede the temporal parietal junction. The procedure be made temporary or permanent.",helmet,emotions,"Novel, TV Series",empathy,2017,2071,55,0.09090909,0.03246753,0.05482655,0,0.25,"Hawk Ostby, James S. A. Corey, Mark Fergus",Legendary Television Distribution,Amazon Studios
